,url,title,content
0,https://sport.detik.com/sport-lain/d-5234162/lihat-lagi-saat-khabib-siksa-conor-mcgregor,Lihat Lagi Saat Khabib Siksa Conor McGregor," Khabib Nurmagomedov sudah mengakhiri kariernya di UFC. Satu pertarungan yang bakal diingat adalah kala menghabisi Conor McGregor. Khabib Nurmagomedov menutup karier di UFC dengan rekor kemenangan sempurna, 29-0 alias tak pernah kalah. Terakhir di UFC 254 di Fight Island, Abu Dhabi pekan lalu, dirinya mengalahkan Justin Gaethje. Khabib Nurmagomedov juga disematkan UFC sebagai peringkat pertama pound-for-pound (P4P) alias pertarung terhebat. 'The Eagle' begitu berjaya!    Dari 13 pertarungan Khabib Nurmagomedov di UFC, salah satu yang disebut pertarungan terbesarnya adalah kontra Conor McGregor. Itu terjadi di UFC 229 pada Oktober 2018, Las Vegas. Sebelum pertarungan, drama sudah terjadi. Khabib menggertak sampai menampar salah seorang teman Conor McGregor, Artem Lobov. Lobov diketahui mencaci-maki Khabib. Maka ketika kebetulan sama-sama sehotel pada rangkaian event UFC, Khabib menghampirinya. Conor McGregor tak suka, dirinya langsung terbang dari Irlandia ke New York. Keesokan harinya, McGregor menyerang bus yang ditumpangi Khabib sampai 'The Notorious' harus berurusan dengan polisi.  [Gambas:Youtube]  Kemudian, UFC mempertemukan Khabib Nurmagomedov vs Conor McGregor. Khabib sebagai pemegang sabuk kelas ringan, bakal diuji oleh McGregor. Saat sesi jumpa pers, suasana makin panas. Conor McGregor berkali-kali menghina Khabib termasuk sampai ke keluarga dan negaranya. Malah, Conor McGregor juga menawarkan whisky ke Khabib. Yang mana dirinya pasti tahu, Khabib adalah seorang muslim dan tidak meminum minuman beralkohol.  [Gambas:Youtube]  Sampai hari pertarungan tiba, octagon jadi panggung keduanya. Di sinilah, pertunjukan Khabib menyiksa McGregor. (Halaman selanjutnya, Khabib tanpa ampun menyiksa Conor McGregor)  Sebelum melanjutkan membaca artikel ini dan melihat video serta foto-fotonya, perlu detikSport ingatkan bahwa olahraga combat ini dilakukan oleh para profesional. Ada aturan main dan tim kesehatannya, sehingga dilarang menirunya sembarangan! Octagon telah ditutup, keduanya siap beraksi. Sebelum bel berbunyi, Khabib Nurmagomedov dan Conor McGregor bahkan tidak bersalaman atau tos. Khabib beberapa kali meladeni permainan atas Conor McGregor. Di ronde kedua, pukulan telaknya masuk bikin McGregor terjatuh!   Dari ronde kedua, Khabib sudah bermain gulat. McGregor tak berdaya dalam pertarungan bawah. Di ronde keempat, Khabib menghabisi McGregor dengan kuncian leher. Khabib menang yang setelahnya situasi jadi ricuh karena dirinya melompati jaring dan menyerang timnya Conor McGregor!   UFC mencatat, Khabib Nurmagomedov begitu dominan atas Conor McGregor. Significant strikes Khabib, yakni 70 kali dari 119 serangan. Paling banyak ke kepala Conor McGregor, 58 serangan sukses. Total strikes Khabib yakni sebanyak 104 dari 157 percobaan. Conor McGregor cuma 96 dari 128 kali, walau 'The Notorius' menang angka di ronde ketiga. Berikut cuplikan pertarungan Khabib Nurmagomedov vs Conor McGregor:  [Gambas:Youtube] "
1,https://sport.detik.com/moto-gp/d-5234148/jorge-lorenzo-jadi-test-rider-aprilia,Jorge Lorenzo Jadi Test Rider Aprilia?," Kabar mengejutkan datang dari MotoGP. Beredar kabar Jorge Lorenzo bakal menjadi test rider tim Aprilia. Benarkah? Kabar itu dicetuskan Speedweek. Beredar laporan Lorenzo tengah bernegosiasi dengan Aprilia, untuk menjadi test rider di musim 2021. Saat ini, Lorenzo sendiri menjadi bagian dari tim Yamaha. Musim ini, juara dunia MotoGP tiga kali itu menjadi pebalap penguji tim Garpu Tala. Sebelumnya, Aprilia sendiri juga dikaitkan dengan 'Lorenzo'. Namun, Lorenzo-nya adalah Lorenzo Savadori, yang menggantikan Bradley Smith. Namun, ada laporan Aprilia juga mendekati Jorge Lorenzo. ""Kami mendengar dari Spanyol jika negosiasi dengan Aprilia berjalan lancar, tapi kesepakatannya juga tetap bisa batal karena masalah uang,"" tulis Speedweek. Selain Lorenzo, Aprilia juga dikaitkan dengan Andrea Dovizioso. Namun, negosiasinya juga masih belum jelas. Jika jadi merekrut Lorenzo, maka kedua pihak akan bereuni. Sebab, pria asal Spanyol itu juga pernah membalap untuk Aprilia pada 2006-2007, tepat sebelum ke MotoGP. Di 2020, Lorenzo sendiri cuma sempat menguji motor YZR-M1 di Sepang dan Portimao. Sisanya, rider 33 tahun itu belum lagi tampil. Kesempatan tampil dengan status wild card sempat diberikan Yamaha di MotoGP Catalunya, namun akhirnya dibatalkan akibat pandemi. Terakhir, Lorenzo juga tidak menjadi pebalap pengganti Valentino Rossi di Yamaha, yang sempat absen akibat positif virus corona. Jika jadi pindah, ada kabar posisi Lorenzo sebagai test rider Yamaha akan digantikan Dovizioso. Rider Italia itu juga dirumorkan dengan Yamaha, sebab bakal meninggalkan Ducati di akhir musim."
2,https://sport.detik.com/raket/d-5234069/teken-mou-dengan-bwf-thailand-gelar-dua-turnamen-super-1000--tur-final,"Teken MoU dengan BWF, Thailand Gelar Dua Turnamen Super 1000 & Tur Final"," Thailand resmi jadi tuan rumah BWF World Tour Super 1000 dan Final Tour Dunia 2020. Itu setelah Federasi Bulutangkis Thailand melakukan tanda tangan nota kesepahaman dengan BWF. Seremoni penandatanganan itu dilakukan secara virtual oleh kedua belah pihak pada Kamis (29/10/2020). Hadir Presiden Asosiasi Bulu Tangkis Thailand, KhunyingPatama Leeswadtrakul, dan dihadiri dalam kapasitas virtual oleh Presiden BWF Poul-Erik Hoyer dan Sekretaris Jenderal BWF Thomas Lund. Selain itu, Menteri Kesehatan Thailand, Bapak Anutin Charnvirakul, dan Menteri Pariwisata dan Olahraga, Phipat Ratchakitprakarn. Penandatanganan tersebut sekaligus memastikan perubahan nama turnamen yang semula disebut Asia Open I dan Asia Open II, serta jadwal berlangsungnya pertandingan. Ketiga turnamen kini menjadi YONEX Thailand Open (Super 1000) berlangsung 12-17 Januari 2021, TOYOTA Thailand Open (Super 1000) 19-24 Januari 2021, dan HSBC BWF World Tour Finals 2020 27-31 Januari 2021 Presiden BWF Paul Erick Hoyer mengatakan pelaksanaan tiga turnamen memberi peluang bulutangkis dapat bangkit kembali meskipun berjalan di tengah pandemi. ""Pertandingan Asian Leg menghadirkan peluang penting bagi kami untuk memulai kembali penyelenggaraan turnamen bulutangkis serta melihat kembali aksi para pemain,"" kata Paul dalam laman BWF. ""Thailand sendiri memiliki sejarah yang kuat dalam menyelenggarakan turnamen bulutangkis besar dan kami percaya mereka sebagai tuan rumah dapat memberikan bulan bulutangkis yang spektakuler pada Januari 2021. Bersama-sama kita memiliki kesempatan untuk membuat bulu tangkis bersinar sekali lagi di kalender olahraga internasional,"" lanjutnya. Sementara itu, Leeswadtrakul mengungkapkan rasa terma kasihnya kepada pemerintah Thailand berikut pemangku kepentingan, serta sponsor dalam kontribusinya mewujudkan turnamen tersebut. ""Kami memiliki dukungan yang luar biasa untuk menyelenggarakan turnamen bulutangkis bersejarah ini di Thailand di bawah pengawasan ketat untuk keselamatan dan kesehatan semua orang,"" katanya. ""Turnamen ini akan membuat masyarakat bangga dengan negaranya karena untuk pertama kalinya tiga turnamen semacam ini diadakan dalam satu bulan di satu negara. Sekaligus diharapkan bisa menggairahkan perekonomian yang stagnan sejak pandemi COVID-19,"" ujarnya. Seperti diketahui, wabah virus Corona telah menghantam seluruh elemen dunia, tak terkecuali olahraga bulutangkis. Beberapa agenda bulutangkis nyaris seluruhnya batal digelar terhitung sejak Maret hingga awal Oktober. "
3,https://sport.detik.com/sport-lain/d-5234034/pfl-susul-ufc-dan-one-championship-ke-indonesia,PFL Susul UFC dan ONE Championship ke Indonesia?," Dua ajang olahraga beladiri campuran, UFC dan ONE Championship lebih dulu tenar di Indonesia. Kini ada satu lagi bakal menyusul, Professional Fighters League (PFL) namanya. UFC tak dipungkiri adalah olahraga tarung bebas paling top saat ini dengan sederet bintang di dalamnya, termasuk kini Conor McGregor dan Khabib Nurmagomedov. Dana White sebagai Presiden UFC meraup untung begitu banyak dari ketenaran olahraga itu. Maka wajar jika UFC lebih banyak dikenal oleh masyarakat lokal Indonesia karena sudah lebih dulu beredar sejak 2003. Setelah UFC, ada lagi olahraga bela diri campuran lainnya, yakni ONE Championship yang dulunya bernama ONE FC. ONE FC juga berkembang pesat sehingga mulai dikenal di Indonesia dalam 3-4 tahun terakhir ini. Nah, orang di balik meroketnya UFC dan ONE Championship itu adalah Loren Mack, yang memang memegang strategi penting dalam hal promosi. Kini Loren Mack sudah pindah ke Profesional Fighters League (PFL). Olahraga asal Amerika Serikat ini baru dibentuk dua tahun lalu oleh tiga orang bernama Donn Davis, Russ Ramsey, dan Mark Leschly. Dimiliki oleh MMAX Investors, Peter Murray ditunjuk sebagai CEO-nya. Nah, untuk musim 2019, ada 68 petarung yang masuk di enam kelas berbeda termasuk kelas ringan wanita. Ada kelas bulu, kelas ringan, kelas welter, kelas menengah, kelas light-heavyweight, dan kelas berat.   Sayangnya karena pandemi virus corona, ajang PFL 2020 dibatalkan dulu dan para petarung yang ada di kabarnya dibayar 1.000 dolar AS per bulannya sebagai pengganti uang pertandingan. Dengan kondisi pandemi yang belum menentu, PFL kini fokus untuk persiapan musim 2021. Rencananya musim reguler PFL 2021 akan dimulai pada 23 April 2021 yang dilanjutkan 29 April, 6 Mei, 10 Juni, 17 Juni, dan 25 Juni. Lalu bakal ada juga fase playoff dan championship, seperti halnya olahraga Amerika Serikat kebanyakan. ""Dengan ekspansi global PFL yang saat sekarang target untuk masuk pasar Mixed Martial Arts (MMA) Asia, maka tidak akan lama lagi juga akan masuk di Jakarta yang merupakan salah satu pasar yang paling pesat di Asia dan kami akan mengundang secara hormat Ade Rai menjadi tamu VIP kami,"" kata Loren Mack selaku Vice President PFL dalam rilis kepada detikSport. Nah, ada rencana PFL juga ingin memasuki pasar Asia, khususnya Indonesia tahun depan mengingat peminat MMA di sini begitu besar. Maka dari itu, PFL mulai ancang-ancang untuk melakukan promosi dalam skala kecil. Salah satunya dengan menggandeng binaragawan terkenal Indonesia dan ahli kesehatan Ade Rai.  [Gambas:Youtube]  ""Selamat kepada PFL. Dengan ketulusan saya berharap PFL untuk terus mempromosikan olah raga yang menjunjung tinggi keadilan dalam menilai sekaligus penyelenggaraan yang profesional. Lalu, secara bersamaan memperhatikan para atletnya baik dari sisi kesejahteraannya maupun kesehatannya. Sukses selalu untuk liganya, para partner, sponsor dan para atlet,"" papar Ade Rai. "
4,https://sport.detik.com/sport-lain/d-5234012/khabib-nurmagomedov-pensiun-conor-mcgregor-berjaya-lagi,"Khabib Nurmagomedov Pensiun, Conor McGregor Berjaya Lagi?"," Khabib Nurmagomedov pensiun dari UFC. Maka kini, apakah saatnya Conor McGregor berjaya lagi di kelas ringan? UFC 254 di Fight Island, Abu Dhabi pada Minggu (25/10) kemarin jadi octagon terakhir Khabib Nurmagomedov. Petarung asal Dagestan itu ditantang oleh Justin Gaethje. Khabib lantas mampu mengalahkan Justin Gaethje cuma dua ronde. Lewat triangle choke yang menawan, Justin dibuat menyerah. Khabib Nurmagomedov setelahnya menyatakan pensiun dan menutup kariernya dengan rekor kemenangan 29-0. Khabib pensiun dari UFC karena perintah sang ibu untuk tidak lagi bertarung setelah Abdulmanap (ayahnya Khabib) meninggal dunia di bulan Juli kemarin. Kini, ada lima calon pemegang sabuk juara kelas ringan yang ditinggalkan Khabib Nurmagomedov. Mereka adalah Justin Gaethje, Dustin Poirier, Tony Ferguson, Conor McGregor, dan Michael Chandler. Dilansir dari ESPN, sepertinya Conor McGregor yang punya peluang besar untuk jadi juara. Tak ayal, dirinya juga merupakan mantan juara kelas ringan yang pernah diraihnya di tahun 2016 silam kala mengalahkan Eddie Alvarez. Conor McGregor pun punya rekor kemenangan yang cukup bagus. Rekor kemenangannya 22-4 alias 22 kali menang dan empat kali kalah. Bukan cuma itu, Conor McGregor memiliki jam terbang yang tinggi di UFC. Dia pernah menikmati tiga kemenangan di tiga kelas yakni Featherweight, Lightweight, dan Welterweigh. Conor McGregor di tengah tahun 2020 ini sempat menyatakan pensiun karena ketidakjelasan event di tengah pandemi. Namun 'The Notoriuos', begitu julukannya sudah siap kembali ke octagon lagi. Conor McGregor juga disebut sebagai petarung tipe stand up terbaik. Pukulan-pukulannya begitu berbahaya! Menilik statistik pertarungannya, Conor McGregor menang KO dalam 20 pertandingan. Striking accuracy-nya 49 persen. Significant strikes by target ke kepala sebesar 71 persen, ke badan 17 persen, dan ke kaki 13 persen. Tinju tangan kiri McGregor begitu berbahaya. Bahkan, Conor McGregor masuk sejarah UFC sebagai salah satu petarung yang cepat menyelesaikan duel. Itu pernah dilakukannya kontra Jose Aldo di tahun 2015 yang selesai cuma 13 detik! Bisakah Conor McGregor berjaya lagi di UFC, setelah berakhirnya era Khabib Nurmagomedov?"
5,https://sport.detik.com/sport-lain/d-5233950/khabib-yang-suka-bicara-ke-lawan-saat-lagi-baku-hantam,Khabib yang Suka Bicara ke Lawan Saat Lagi Baku Hantam," Khabib Nurmagomedov punya satu kebiasaan di dalam octagon. Saat lagi baku hantam dengan lawan, dia suka mengajaknya bicara! UFC 254 di Fight Island, Abu Dhabi pada Minggu (25/10) kemarin jadi octagon terakhir Khabib Nurmagomedov. Petarung asal Dagestan itu ditantang oleh Justin Gaethje. Khabib lantas mampu mengalahkan Justin Gaethje cuma dua ronde. Lewat triangle choke yang menawan, Justin dibuat menyerah. Khabib Nurmagomedov setelahnya menyatakan pensiun dan menutup kariernya dengan rekor kemenangan sempurna 29-0. Khabib pensiun dari UFC karena perintah sang ibu untuk tidak lagi bertarung setelah Abdulmanap (ayahnya Khabib) meninggal dunia di bulan Juli kemarin. Dilansir dari ESPN, tindak-tanduk Khabib Nurmagomedov memang selalu jadi perhatian. Khabib dikenal sebagai petarung yang dekat dengan orangtuanya khususnya mendiang sang ayah, Khabib sebagai muslim yang taat, dan Khabib yang tidak suka trash talking. Ada satu lagi hal menarik dari 'The Eagle. Khabib, suka mengajak lawan bicara kala sedang berduel! Misalnya pada saat perebutan sabuk juara kelas ringan kontra Al Iaquinta pada UFC 223 di awal tahun 2018. Khabib Nurmagomedov di luar dugaan bermain pertarungan atas dengan boxing. Khabib pun melancarkan banyak pukulan jab. Dia pun mengajak Iaquinta untuk terus bermain atas, seraya tutur melirik ke luar octagon untuk melihat temannya yang juga petarung UFC kelas berat, Daniel Cormier. ""Khabib bilang ke saya saat pertandingan, 'bagaimana jab saya?',"" ujar Cormier. Sebelumnya kala Khabib Nurmagomedov menghadapi Michael Johnson pada UFC 205 di tahun 2016, Khabib juga mengajaknya berbicara. Itu dilakukan saat pertarungan bawah. ""Saya butuh titel juara ini, kamu harus menyerah,"" kata Khabib dan dirinya melancarkan pukulan bertubi-tubi. Yang paling terkenal, kala Khabib Nurmagomedov kontra Conor McGregor di UFC 229 pada Oktober 2018. Khabib beberapa kali berbicara dengan McGregor yang sedang dikuasainya dalam permainan gulat. 'Ayo bicara!'. ""Ayo bicara sekarang, ayo bicara,"" tutur Khabib yang juga seraya dilayangkan pukulan bertubi-tubi. ""McGregor sempat membalas, 'ini cuma bisnis',"" katanya.  [Gambas:Instagram]  Khusus saat berhadapan dengan Conor McGregor, Khabib memang panas betul. Tak ayal sebelum duel, Conor McGregor sering kali mengumpat hingga menghina Khabib, bahkan sampai menghina keluarga hingga agamanya."
6,https://sport.detik.com/sport-lain/d-5233946/ini-program-timnas-balap-sepeda-indonesia-di-tengah-pandemi,Ini Program Timnas Balap Sepeda Indonesia di Tengah Pandemi," Dadang Haris Purnomo, pelatih kepala timnas balap sepeda Indonesia, terus menggenjot persiapan atletnya meski tanpa ada event Kualifikasi Olimpiade Tokyo sampai akhir 2020. Seperti apa programnya? Balap sepeda saat ini melakukan pelatnas menuju Olimpiade Tokyo di Yogyakarta dengan diikuti delapan pebalap baik dari nomor bmx maupun trek. Khusus atlet BMX mereka sedianya akan mengikuti enam kejuaraan besar di tahun ini. Di antaranya, Kejuaraan Asia, Banyuwangi (dua event), dan Jakarta BMX International seri 1 dan seri II. Namun, wabah COVID-19 yang terjadi secara global, termasuk di Indonesia, sudah mengubah seluruh rencana. Event-event yang berpeluang mendongkrak poin Olimpiade balap sepeda itu otomatis batal digelar sehingga I Gusti Bagus Saputra dkk. tanpa ada kejuaraan kualifikasi tahun ini. Kondisi itu pun ikut mempengaruhi persiapan yang dilakukan sejak lama. Padahal merujuk poin nation UCI per 27 Oktober, Indonesia hanya kurang sekitar 400 poin dari peringkat 12 yaitu Latvia untuk mengamankan posisi. ""Jadi memang sampai saat ini belum ada event yang mau kami targetkan dulu. Sebab, dengan kondisi seperti ini masih tanda tanya ya,"" kata pelatih kepala balap sepeda, Dadang Haris Purnomo, kepada detikSport, Kamis (29/10/2020). ""Kalau event besar Tour de France, Tour de Italy itu sudah selesai, Tour de Soanyol sedang berlangsung. Begitupun Eropa Championship juga tengah berjalan tapi untuk Asia sepertinya belum ada,"" lanjutnya. Timnas balap sepeda Indonesia sempat mendapatkan tiga undangan dari Thailand untuk melakukan dua tour dan satu Kejuaraan Asia Series nomor trek. Selain Timnas ada tim kontinental yang juga diundang yakni Mula Cycling Team. Namun, peraturan yang mengharuskan melakukan karantina selama dua pekan memberatkan tim nasional balap sepeda baik dari segi waktu maupun biaya. ""Sejauh ini tournya berlangsung tapi event treknya yang batal."" Lebih lanjut Dadang tak bisa berspekulasi dengan kejuaraan tahun depan meskipun para pebalapnya optimistis bisa mengejar ketertinggalan. ""Kita tidak ada yang tahu seperti apa eventnya tahun depan. Kalaupun tampil juga harus menghitung peluang menangnya, tidak asal ikut,"" dia menjelaskan. ""Nah, salah satu strategi saya terakhir andai kata salah satu event tidak dilombakan ialah melalui kejuaraan dunia. Jadi akan dipilih tiga pebalap yang terbaik dari yang sudah lolos."" ""Misalnya, lolos nation dan individu total 24 atlet. Nah, akan dicari tiga pebalap lain di luar dari jumlah itu. Andai kata di beberapa event yang diharapkan tak bisa diikuti,"" katanya. Berkaitan dengan itu, pelatnas timnas balap sepeda Indonesia terus berjalan. Bahkan untuk mengisi kekosongan tersebut, Dadang melibatkan pebalapnya untuk mengikuti race virtual. ""Kami beberapa kali ikut berpartisipasi. Kebetulan ke depan ada tiga kali race virtual. Race ini sifatnya open dan rata-rata diikuti pebalap luar negeri juga,"" dia menjelaskan. "
7,https://sport.detik.com/sport-lain/d-5233889/mike-tyson-vs-roy-jones-jr-bulan-depan-sabuk-juara-diperebutkan,"Mike Tyson Vs Roy Jones Jr Bulan Depan, Sabuk Juara Diperebutkan"," Momen Mike Tyson Vs Roy Jones Jr kian mendekat. Partai itu bukan cuma akan jadi ekshibisi biasa antara dua legenda, tapi juga melibatkan sabuk gelar juara. Duel ini sudah banyak dibicarakan, dan kemudian dinantikan, mengingat jadi momen kembalinya si Leher Beton Mike Tyson ke atas ring setelah 15 tahun pensiun. Ya, Mike Tyson memang sudah tak lagi muda. Umurnya sudah 54 tahun. Di partai itu nanti pun Tyson 'cuma' akan berhadapan Roy Jones Jr yang usianya juga sudah 51 tahun dan lewat masa keemasannya. Tapi popularitas mereka bikin partai ini tetap dinantikan. Duel Mike Tyson Vs Roy Jones Jr sendiri rencananya akan hadir pada 28 November 2020. Mundur dari jadwal sebelumnya pada 12 September 2020. Partai itu sejatinya hanyalah berstatus ekshibisi. Tapi karena yang naik ring adalah dua sosok top (pada masanya) dibuatlah pula sebuah sabuk juara khusus yang akan jadi rebutan Mike Tyson dan Roy Jones Jr. Seperti dilansir BoxingNews24, Sportbible, dan CBS, partai ekshibisi delapan ronde itu akan bikin Mike Tyson dan Roy Jones Jr memperebutkan Frontline Battle Belt dari WBC. Sabuk khusus itu dibuat WBC selaras dengan tajuk duel ini: 'Frontline Battle'.  [Gambas:Twitter]  Sabuk yang jadi rebutan dalam duel di Dignity Health Park, Carson, pada bulan November tersebut bukan cuma terlihat memampang tulisan 'WBC', 'Tyson Vs Jones', dan sosok kedua petinju tapi juga tulisan-tulisan 'Black Lives Matter'. Diketahui pula bahwa untuk duel Mike Tyson Vs Roy Jones Jr, kedua petinju tidak dianjurkan untuk baku hantam habis-habisan apalagi sampai mengincar menang KO. Bahkan pertarungan sangat mungkin bakal dihentikan jika salah satu ada yang terluka. "
8,https://sport.detik.com/sport-lain/d-5233883/khabib-pensiun-justin-gaethje-sekarang-saya-yang-nomor-satu,"Khabib Pensiun, Justin Gaethje: Sekarang Saya yang Nomor Satu"," Khabib Nurmagomedov pensiun dari UFC. Maka kini di kelas ringan, Justin Gaethje masih di peringkat pertama dan siap duel sama siapa saja! Khabib Nurmagomedov pensiun dari UFC setelah mengalahkan Justin Gaethje dalam perebutan gelar sabuk juara kelas ringan di UFC 254 di Fight Island, Abu Dhabi pada Minggu (25/10) kemarin. Khabib sang pemegang sabuknya bisa mempertahankannya. 'The Eagle' menuntaskan 'The Highlight' lewat triangle choke pada ronde kedua. Khabib pensiun dengan rekor kemenangan fantastis, 29-0. Plus, dia juga mampu mempertahankan sabuk juara kelas ringannya. Justin Gaethje mengaku bahwa Khabib Nurmagomedov memang petarung yang hebat. Khabib disebutnya lihai dalam permainan atas, apalagi bergulat. ""Dia monster, tak akan ada yang bisa mengalahkannya,"" ujar Gaethje seperti dilansir dari BT Sport. Dalam catatan resmi UFC, Justin Gaethje masih menempati peringkat pertama di kelas ringan. Artinya, peluang dia untuk meraih sabuk juara kelas ringan yang ditinggalkan Khabib terbuka lebar. ""Sekarang saya yang nomor satu,"" tegasnya. Setidaknya selain Justin Gaethje, masih ada empat petarung lain yang punya kans untuk merebut sabuk juara tersebut. Mereka adalah Dustin Poirier, Tony Ferguson, Conor McGregor, dan Michael Chandler. ""Conor McGregor dan Dustin Poirier katanya mau duel tapi hingga kini belum ada kejelasan. Kalau Conor mau gelar juara, ayo hadapi saya,"" katanya. ""Saya suka kompetisi ini, adrenalin begitu berdebar kuat. Ini hidup saya dan saya belum akan berhenti,"" tegas Justin Gaethje. Menariknya, lima petarung tersebut pernah bertanding satu sama lain. Justin Gaethje pernah mengalahkan Tony Ferguson, sebelumnya Dustin Poirier pernah mengalahkan Justin Gaethje, dan Conor McGregor pernah mengalahkan Dustin Poirier."
9,https://sport.detik.com/sport-lain/d-5233828/khabib-suka-siksa-mcgregor-beda-saat-lawan-gaethje,"Khabib Suka Siksa McGregor, Beda Saat Lawan Gaethje"," Khabib Nurmagomedov gemar menyiksa Conor McGregor saat berduel beberapa waktu lalu. Hal itu diklaim pelatihnya, Javier Mendez. Khabib baru saja memutuskan pensiun dari UFC. Petarung 32 tahun itu melakoni partai terakhirnya akhir pekan lalu, dengan mengalahkan Justin Gaethje. Kemenangan atas Gaethje didapat Khabib dengan tempo singkat. Di ronde kedua, The Eagle mengunci lawannya dengan teknik triangle choke. Gaethje menyerah saat baru berduel 1 menit 34 detik di ronde kedua. Kemenangan itu menjadi yang tercepat kedua Khabib sepanjang kariernya. Yang pertama, Khabib pernah menang di waktu 1 menit 55 detik ronde pertama pada 2013, ketika mengalahkan Thiago Tavares. Mendez mengungkapkan, Khabib memang punya ciri khas saat bertarung. Ia akan menghabisi lawan lebih cepat andaikata menyukai lawannya itu. ""Saya pikir Khabib begitu menyukai Justin, karena ia menghabisinya begitu cepat daripada petarung yang lain,"" kata Mendez kepada Sun Sport. Mendez mencontohkan ketika Khabib menghadapi McGregor dua tahun lalu. Ketika itu, The Notorious dikalahkan di ronde keempat, karena disebut Khabib ingin memberi lawannya itu pelajaran lebih dahulu. ""Khabib sedikit suka menghukum orang, membanting dan menghajar mereka. Namun, orang tua Justin hadir di sana dan dia tahu Justin tak ingin melakukan tap out. Dirinya tak ingin mematahkan tangan Justin di hadapan ayah ibunya,"" lanjut Mendez. ""Adapun Khabib secara sengaja membiarkan pertarungan Conor berjalan lebih lama. Ia sengaja berdiri bersamanya. Ia ingin menghukumnya. Karena Conor bertahan empat ronde, bukan berarti Khabib kesulitan menghabisinya. Khabib justru ingin menghukum Conor lebih dulu, suatu hal yang tak ingin dia lakukan dengan Justin,"" katanya."
